WORD,BROWN_FREQ,WORD_CATEGORY
MARYLLIS,,N
AMARYLLISES,,
AMASS,,V
AMASSED,,
AMASSES,,
AMASSING,,
AMASSMENT,,
AMATE,2,
AMATEUR,,N
AMATEURISH,,J
AMATEURISM,,
AMATEURS,,
AMATIVE,,J
AMATOL,,N
AMATORIAL,,
AMATORY,,J
AMAUROSIS,,N
AMAY,,
AMAZE,3,V
AMAZED,1,
AMAZEMENT,1,N
AMAZES,,
AMAZIA,9,
AMAZING,2,
AMAZINGLY,,
AMAZON,,N
AMAZONIAN,,J
AMAZONITE,,
AMAZONS,,
AMBAGE,,N
AMBAGES,,N
AMBASSADE,,
AMBASSADOR,,N
AMBASSADORIAL,,J
AMBASSADORS,,
AMBASSADRESS,,N
AMBASSADRESSES,,
AMBASSAGE,,
AMBASSIATE,,
AMBASSY,,
AMBE,,N
AMBER,,N
DAYS,,
AMBERGRIS,,N
AMBIDEXTER,,N
AMBIDEXTROUS,,J
AMBIENCE,,
AMBIENT,,J
AMBIGENAL,,
AMBIGENOUS,,
AMBIGU,,
AMBIGUITIES,,
AMBIGUITY,,
AMBIGUOUS,,J
AMBIGUOUSLY,,
AMBILAEVOUS,,
AMBIPAROUS,,
AMBIT,2,N
AMBITION,,N
AMBITIONS,5,
AMBITIOUS,,J
AMBITIOUSLY,,
AMBITS,,
AMBIVALENCE,,N
AMBIVALENT,,J
AMBLE,,V
AMBLED,,
AMBLEOCARPUS,,
AMBLER,,N
AMBLES,,
AMBLING,,
AMBLOSIS,,
AMBLYGON,,
AMBLYOPIA,,
AMBO,,
ABAFT      ,,O
